defense,ranking_profile,metrics_used,rank_sum,first_place_count,openpi_metrics_used,asb_metrics_used,mpib_metrics_used,mean_rank,composite_score
llm_based,utility_priority,13,49.0,1,6,3,4,3.7692,0.2653
layered_guard,utility_priority,13,52.0,2,6,3,4,4.0,0.25
none,utility_priority,13,58.5,0,6,3,4,4.5,0.2222
ppl-10-4.5,utility_priority,13,59.5,1,6,3,4,4.5769,0.2185
structured_guard,utility_priority,13,59.5,0,6,3,4,4.5769,0.2185
known_answer,utility_priority,13,62.0,1,6,3,4,4.7692,0.2097
response_based,utility_priority,13,62.0,0,6,3,4,4.7692,0.2097
prompt_guard,utility_priority,13,65.5,0,6,3,4,5.0385,0.1985
