defense,ranking_profile,metrics_used,rank_sum,first_place_count,openpi_metrics_used,asb_metrics_used,mpib_metrics_used,mean_rank,composite_score
layered_guard,balanced,14,47.0,3,8,2,4,3.3571,0.2979
llm_based,balanced,14,47.0,2,8,2,4,3.3571,0.2979
response_based,balanced,14,54.0,1,8,2,4,3.8571,0.2593
ppl-10-4.5,balanced,14,64.0,2,8,2,4,4.5714,0.2188
none,balanced,10,46.0,0,4,2,4,4.6,0.2174
known_answer,balanced,14,67.5,0,8,2,4,4.8214,0.2074
prompt_guard,balanced,14,68.5,0,8,2,4,4.8929,0.2044
structured_guard,balanced,10,50.0,0,4,2,4,5.0,0.2
