defense,ranking_profile,metrics_used,rank_sum,first_place_count,openpi_metrics_used,asb_metrics_used,mpib_metrics_used,mean_rank,composite_score
layered_guard,safety_priority,17,58.0,3,9,2,6,3.4118,0.2931
response_based,safety_priority,17,62.0,2,9,2,6,3.6471,0.2742
none,safety_priority,13,54.0,1,5,2,6,4.1538,0.2407
llm_based,safety_priority,17,71.0,2,9,2,6,4.1765,0.2394
known_answer,safety_priority,17,74.5,1,9,2,6,4.3824,0.2282
structured_guard,safety_priority,13,63.0,0,5,2,6,4.8462,0.2063
ppl-10-4.5,safety_priority,17,83.0,2,9,2,6,4.8824,0.2048
prompt_guard,safety_priority,17,86.5,0,9,2,6,5.0882,0.1965
